Mod	SettleObjExpandPack.esp
120cd3	Small Yellow Special Spinning Bright
120cd4	Small White Special Spinning Dim
120cd5	Small Warm Special Spinning Dim
120cd6	Small Cool Special Spinning Dim
120cd7	Small Blue Special Spinning Dim
120cd8	Small Green Special Spinning Dim
120cd9	Small Purple Special Spinning Dim
120cda	Small Red Special Spinning Dim
120cdb	Small Orange Special Spinning Dim
120cdc	Small Yellow Special Spinning Dim

Category	Special Spinning DLC
120d91	Large White Special Spinning Bright
120d92	Large Warm Special Spinning Bright
120d93	Large Cool Special Spinning Bright
120d94	Large Blue Special Spinning Bright
120d95	Large Green Special Spinning Bright
120d96	Large Purple Special Spinning Bright
120d97	Large Red Special Spinning Bright
120d98	Large Orange Special Spinning Bright
120d99	Large Yellow Special Spinning Bright
120d9a	Large White Special Spinning Dim
120d9b	Large Warm Special Spinning Dim
120d9c	Large Cool Special Spinning Dim
120d9d	Large Blue Special Spinning Dim
120d9e	Large Green Special Spinning Dim
120d9f	Large Purple Special Spinning Dim
120da0	Large Red Special Spinning Dim
120da1	Large Orange Special Spinning Dim
120da2	Large Yellow Special Spinning Dim
120d7f	Mid White Special Spinning Bright
120d80	Mid Warm Special Spinning Bright
120d81	Mid Cool Special Spinning Bright
120d82	Mid Blue Special Spinning Bright
120d83	Mid Green Special Spinning Bright
120d84	Mid Purple Special Spinning Bright
120d85	Mid Red Special Spinning Bright
120d86	Mid Orange Special Spinning Bright
120d87	Mid Yellow Special Spinning Bright
120d88	Mid White Special Spinning Dim
120d89	Mid Warm Special Spinning Dim
120d8a	Mid Cool Special Spinning Dim
120d8b	Mid Blue Special Spinning Dim
120d8c	Mid Green Special Spinning Dim
120d8d	Mid Purple Special Spinning Dim
120d8e	Mid Red Special Spinning Dim
120d8f	Mid Orange Special Spinning Dim
120d90	Mid Yellow Special Spinning Dim
120d6d	Small White Special Spinning Bright
120d6e	Small Warm Special Spinning Bright
120d6f	Small Cool Special Spinning Bright
120d70	Small Blue Special Spinning Bright
120d71	Small Green Special Spinning Bright
120d72	Small Purple Special Spinning Bright
120d73	Small Red Special Spinning Bright
120d74	Small Orange Special Spinning Bright
120d75	Small Yellow Special Spinning Bright
120d76	Small White Special Spinning Dim
120d77	Small Warm Special Spinning Dim
120d78	Small Cool Special Spinning Dim
120d79	Small Blue Special Spinning Dim
120d7a	Small Green Special Spinning Dim
120d7b	Small Purple Special Spinning Dim
120d7c	Small Red Special Spinning Dim
120d7d	Small Orange Special Spinning Dim
120d7e	Small Yellow Special Spinning Dim

Category	Special Spinning DLC Shadow
120d5b	Large White Special Spinning Bright
120d5c	Large Warm Special Spinning Bright
120d5d	Large Cool Special Spinning Bright
120d5e	Large Blue Special Spinning Bright
120d5f	Large Green Special Spinning Bright
120d60	Large Purple Special Spinning Bright
120d61	Large Red Special Spinning Bright
120d62	Large Orange Special Spinning Bright
120d63	Large Yellow Special Spinning Bright
120d64	Large White Special Spinning Dim
120d65	Large Warm Special Spinning Dim
120d66	Large Cool Special Spinning Dim
120d67	Large Blue Special Spinning Dim
120d68	Large Green Special Spinning Dim
120d69	Large Purple Special Spinning Dim
120d6a	Large Red Special Spinning Dim
120d6b	Large Orange Special Spinning Dim
120d6c	Large Yellow Special Spinning Dim
120d49	Mid White Special Spinning Bright
120d4a	Mid Warm Special Spinning Bright
120d4b	Mid Cool Special Spinning Bright
120d4c	Mid Blue Special Spinning Bright
120d4d	Mid Green Special Spinning Bright
120d4e	Mid Purple Special Spinning Bright
120d4f	Mid Red Special Spinning Bright
120d50	Mid Orange Special Spinning Bright
120d51	Mid Yellow Special Spinning Bright
120d52	Mid White Special Spinning Dim
120d53	Mid Warm Special Spinning Dim
120d54	Mid Cool Special Spinning Dim
120d55	Mid Blue Special Spinning Dim
120d56	Mid Green Special Spinning Dim
120d57	Mid Purple Special Spinning Dim
120d58	Mid Red Special Spinning Dim
120d59	Mid Orange Special Spinning Dim
120d5a	Mid Yellow Special Spinning Dim
120d37	Small White Special Spinning Bright
120d38	Small Warm Special Spinning Bright
120d39	Small Cool Special Spinning Bright
120d3a	Small Blue Special Spinning Bright
120d3b	Small Green Special Spinning Bright
120d3c	Small Purple Special Spinning Bright
120d3d	Small Red Special Spinning Bright
120d3e	Small Orange Special Spinning Bright
120d3f	Small Yellow Special Spinning Bright
120d40	Small White Special Spinning Dim
120d41	Small Warm Special Spinning Dim
120d42	Small Cool Special Spinning Dim
120d43	Small Blue Special Spinning Dim
120d44	Small Green Special Spinning Dim
120d45	Small Purple Special Spinning Dim
120d46	Small Red Special Spinning Dim
120d47	Small Orange Special Spinning Dim
120d48	Small Yellow Special Spinning Dim
